,Hora_Salida,Destino,Origen,Hora_Llegada,Desde,Dmxn,Mxn,No,Name,Lat,Lon
0,01:10,YUL,MEX,07:25,16779,2019/10/08,1,2019-12-31,AMX,45.46561,-73.745299
1,01:25,ORD,MEX,05:25,11954,2019/10/08,1,2019-12-31,AMX,41.974166,-87.9073
2,06:01,CUN,MEX,13:10,9352,2019/10/08,1,2019-12-31,AMX,21.040358,-86.873455
3,06:01,DEN,MEX,15:04,7698,2019/10/08,1,2019-12-31,AMX,39.856121,-104.673641
4,06:01,JFK,MEX,14:30,9314,2019/10/08,1,2019-12-31,AMX,40.641235,-73.778263
5,06:01,LAS,MEX,12:25,4136,2019/10/08,1,2019-12-31,AMX,36.084026,-115.153889
6,06:01,LAX,MEX,10:15,6471,2019/10/08,1,2019-12-31,AMX,33.941562,-118.408412
7,06:01,MCO,MEX,15:26,10602,2019/10/08,1,2019-12-31,AMX,28.431205,-81.308008
8,06:01,MIA,MEX,15:49,8977,2019/10/08,1,2019-12-31,AMX,25.795814,-80.287169
9,06:01,SFO,MEX,14:33,9830,2019/10/08,1,2019-12-31,AMX,37.621313,-122.378988
10,06:05,CUN,MEX,09:35,3083,2019/10/08,1,2019-12-31,AMX,21.040358,-86.873455
11,06:05,JFK,MEX,18:08,26372,2019/10/08,1,2019-12-31,AMX,40.641235,-73.778263
12,06:05,MCO,MEX,13:46,32281,2019/10/08,1,2019-12-31,AMX,28.431205,-81.308008
13,06:05,ORD,MEX,16:43,28411,2019/10/08,1,2019-12-31,AMX,41.974166,-87.9073
14,07:00,CUN,MEX,10:35,2735,2019/10/08,1,2019-12-31,AMX,21.040358,-86.873455
15,07:00,DEN,MEX,15:04,7698,2019/10/08,1,2019-12-31,AMX,39.856121,-104.673641
16,07:00,JFK,MEX,14:30,11954,2019/10/08,1,2019-12-31,AMX,40.641235,-73.778263
17,07:00,LAS,MEX,12:25,5659,2019/10/08,1,2019-12-31,AMX,36.084026,-115.153889
18,07:00,LAX,MEX,11:10,6471,2019/10/08,1,2019-12-31,AMX,33.941562,-118.408412
19,07:00,MCO,MEX,11:14,4725,2019/10/08,1,2019-12-31,AMX,28.431205,-81.308008
20,07:00,MIA,MEX,11:30,7283,2019/10/08,1,2019-12-31,AMX,25.795814,-80.287169
21,07:00,ORD,MEX,14:32,12064,2019/10/08,1,2019-12-31,AMX,41.974166,-87.9073
22,07:00,SFO,MEX,16:39,10846,2019/10/08,1,2019-12-31,AMX,37.621313,-122.378988
23,07:05,JFK,MEX,13:00,9314,2019/10/08,1,2019-12-31,AMX,40.641235,-73.778263
24,07:15,DEN,MEX,17:46,7698,2019/10/08,1,2019-12-31,AMX,39.856121,-104.673641
25,07:15,LAS,MEX,14:34,6378,2019/10/08,1,2019-12-31,AMX,36.084026,-115.153889
26,07:15,LAX,MEX,09:25,6471,2019/10/08,1,2019-12-31,AMX,33.941562,-118.408412
27,07:15,SFO,MEX,14:33,9830,2019/10/08,1,2019-12-31,AMX,37.621313,-122.378988
28,08:00,CUN,MEX,11:34,2735,2019/10/08,1,2019-12-31,AMX,21.040358,-86.873455
29,08:00,JFK,MEX,00:15,26372,2019/10/08,1,2019-12-31,AMX,40.641235,-73.778263
30,08:00,LAS,MEX,12:25,4847,2019/10/08,1,2019-12-31,AMX,36.084026,-115.153889
31,08:00,LAX,MEX,18:15,27294,2019/10/08,1,2019-12-31,AMX,33.941562,-118.408412
32,08:00,ORD,MEX,22:02,28005,2019/10/08,1,2019-12-31,AMX,41.974166,-87.9073
33,08:40,JFK,MEX,18:19,14298,2019/10/08,1,2019-12-31,AMX,40.641235,-73.778263
34,09:00,DEN,MEX,19:39,14603,2019/10/08,1,2019-12-31,AMX,39.856121,-104.673641
35,09:00,JFK,MEX,19:03,16735,2019/10/08,1,2019-12-31,AMX,40.641235,-73.778263
36,09:00,LAS,MEX,11:28,4847,2019/10/08,1,2019-12-31,AMX,36.084026,-115.153889
37,09:00,LAX,MEX,18:15,7495,2019/10/08,1,2019-12-31,AMX,33.941562,-118.408412
38,09:00,MCO,MEX,13:29,4725,2019/10/08,1,2019-12-31,AMX,28.431205,-81.308008
39,09:00,MIA,MEX,17:52,8977,2019/10/08,1,2019-12-31,AMX,25.795814,-80.287169
40,09:00,ORD,MEX,13:25,11954,2019/10/08,1,2019-12-31,AMX,41.974166,-87.9073
